date,regime,action,status,tqqq_shares_before,delta_shares,tqqq_shares_after,fill_price,slippage_bps,cash_before,cash_after,nlv_before,nlv_after,target_pct,actual_pct,gap_guard,notes
2026-06-03,bull,HOLD,executed,0,94,94,87.3072,10,10000.0,1793.12,10000.0,9991.8,82.5,82.5,False,BUY 94 TQQQ (0.0% → 82.5%)
2026-06-04,bull,HOLD,no_action,94,0,94,,0,1793.12,1793.12,9803.8,9803.8,82.5,81.71,False,Within drift tolerance (0.8% < 5.0%)
2026-06-05,bull,HOLD,executed,94,-94,0,72.977,10,1793.12,8652.96,8659.82,8652.96,0.0,0.0,False,SELL 94 TQQQ (79.3% → 0.0%)
2026-06-08,bull,HOLD,executed,0,93,93,76.3463,10,8652.96,1552.75,8652.96,8645.86,82.5,82.5,False,BUY 93 TQQQ (0.0% → 82.5%)
2026-06-09,bull,HOLD,no_action,93,0,93,,0,1552.75,1552.75,8408.71,8408.71,82.5,81.53,False,Within drift tolerance (1.0% < 5.0%)
2026-06-10,bull,HOLD,executed,93,-93,0,69.2007,10,1552.75,7988.42,7994.86,7988.42,0.0,0.0,False,SELL 93 TQQQ (80.6% → 0.0%)
2026-06-11,uncertain,REDUCE_A,executed,0,82,82,76.086,10,7988.42,1749.37,7988.42,7982.19,78.75,78.75,False,BUY 82 TQQQ (0.0% → 78.8%)
2026-06-12,uncertain,HOLD,no_action,82,0,82,,0,1749.37,1749.37,8106.01,8106.01,78.75,78.42,False,Within drift tolerance (0.3% < 5.0%)
2026-06-15,uncertain,HOLD,no_action,82,0,82,,0,1749.37,1749.37,8685.75,8685.75,78.75,79.86,False,Within drift tolerance (1.1% < 5.0%)
2026-06-16,uncertain,HOLD,no_action,82,0,82,,0,1749.37,1749.37,8303.63,8303.63,78.75,78.93,False,Within drift tolerance (0.2% < 5.0%)
2026-06-17,uncertain,HOLD,no_action,82,0,82,,0,1749.37,1749.37,8107.65,8107.65,78.75,78.42,False,Within drift tolerance (0.3% < 5.0%)
2026-06-18,uncertain,HOLD,no_action,82,0,82,,0,1749.37,1749.37,8544.71,8544.71,78.75,79.53,False,Within drift tolerance (0.8% < 5.0%)
2026-06-19,uncertain,HOLD,no_action,82,0,82,,0,1749.37,1749.37,8544.71,8544.71,78.75,79.53,False,Within drift tolerance (0.8% < 5.0%)
2026-06-22,bull,INCREASE_A,no_action,82,0,82,,0,1749.37,1749.37,8520.93,8520.93,82.5,79.47,False,Within drift tolerance (3.0% < 5.0%)
2026-06-24,bull,HOLD,executed,82,5,87,73.3733,10,1749.37,1382.5,7759.97,7759.6,82.5,82.5,False,BUY 5 TQQQ (77.5% → 82.5%)
2026-06-25,bull,HOLD,no_action,87,0,87,,0,1382.5,1382.5,7903.15,7903.15,82.5,82.51,False,Within drift tolerance (0.0% < 5.0%)
2026-06-26,uncertain,HOLD,executed,87,-12,75,74.875,10,1382.5,2281.0,7903.15,7902.25,72.05,72.05,False,SELL 12 TQQQ (82.5% → 72.1%)
2026-06-29,uncertain,HOLD,no_action,75,0,75,,0,2281.0,2281.0,8070.25,8070.25,71.59,71.74,False,Within drift tolerance (0.1% < 5.0%)
2026-06-30,uncertain,HOLD,no_action,75,0,75,,0,2281.0,2281.0,8356.0,8356.0,72.37,72.7,False,Within drift tolerance (0.3% < 5.0%)
2026-07-01,uncertain,HOLD,no_action,75,0,75,,0,2281.0,2281.0,8090.5,8090.5,72.89,71.81,False,Within drift tolerance (1.1% < 5.0%)
2026-07-02,bull,INCREASE_A,executed,75,13,88,73.4233,10,2281.0,1326.5,7782.25,7781.3,82.94,82.94,False,BUY 13 TQQQ (70.7% → 82.9%)
2026-07-03,bull,HOLD,no_action,88,0,88,,0,1326.5,1326.5,7781.3,7781.3,82.4,82.95,False,Within drift tolerance (0.6% < 5.0%)
2026-07-06,bull,HOLD,no_action,88,0,88,,0,1326.5,1326.5,8051.46,8051.46,82.4,83.52,False,Within drift tolerance (1.1% < 5.0%)
2026-07-07,bull,HOLD,no_action,88,0,88,,0,1326.5,1326.5,7682.74,7682.74,82.83,82.73,False,Within drift tolerance (0.1% < 5.0%)
